GeneIdx,PercentGeneCovered,AverageKMerDepth
>MEG_1017|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,9.39227%,0.142541
>MEG_1018|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,14.1436%,0.141436
>MEG_1019|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,58.1281%,0.777094
>MEG_101|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,47.7647%,1.15059
>MEG_1020|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,5.77664%,0.0577664
>MEG_1021|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,16.7513%,0.167513
>MEG_1022|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,56%,0.8675
>MEG_1023|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,68.375%,1.05
>MEG_1024|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,71.875%,1.0825
>MEG_1025|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,75.125%,1.145
>MEG_1026|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,65.875%,0.99375
>MEG_1027|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,67.5%,1.01
>MEG_1028|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,78.25%,1.205
>MEG_1029|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,73.125%,1.105
>MEG_102|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,53.4118%,1.21176
>MEG_1030|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,64.875%,1.0025
>MEG_1031|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,16.25%,0.1625
>MEG_1032|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,32.3786%,0.331258
>MEG_1033|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,32.3786%,0.331258
>MEG_1034|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,11.2516%,0.112516
>MEG_1035|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,32.0924%,0.353017
>MEG_1036|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,17.6396%,0.176396
>MEG_1037|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,5.56258%,0.0771176
>MEG_1038|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,17.3299%,0.173299
>MEG_1039|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,17.8434%,0.178434
>MEG_103|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,45.6471%,1.08235
>MEG_1040|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,17.8434%,0.178434
>MEG_1041|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,71.0327%,1.06927
>MEG_1042|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,5.81542%,0.0581542
>MEG_1043|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,12.625%,0.19375
>MEG_1044|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,79.125%,1.22375
>MEG_1045|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,59.0102%,0.780457
>MEG_1046|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,60.7868%,0.798223
>MEG_1047|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,18.5987%,0.185987
>MEG_1048|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0.26178%,0.0026178
>MEG_1049|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,20.1602%,0.216288
>MEG_104|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,45.1765%,0.917647
>MEG_1050|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,5.64827%,0.0564827
>MEG_1051|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,29.5143%,0.302615
>MEG_1052|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,28.7327%,0.346299
>MEG_1053|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,58.8832%,0.777919
>MEG_1054|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,56.8528%,0.727157
>MEG_1055|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,54.3147%,0.733503
>MEG_1056|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,20.75%,0.22125
>MEG_1057|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,56.8528%,0.758883
>MEG_1058|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,63.2353%,0.682773
>MEG_1059|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,1.29366%,0.0129366
>MEG_105|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,89.2393%,2.86827
>MEG_1060|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,15.7962%,0.161783
>MEG_1061|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,73.875%,1.14
>MEG_1062|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,24.4415%,0.250986
>MEG_1063|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,7.32984%,0.0981675
>MEG_1064|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,5.90501%,0.0590501
>MEG_1065|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,7.98429%,0.104712
>MEG_1066|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,18.0203%,0.186548
>MEG_1067|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,18.1472%,0.200508
>MEG_1068|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,5.56258%,0.0771176
>MEG_1069|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,8.11518%,0.106021
>MEG_106|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,91.4657%,4.31911
>MEG_1070|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,12.625%,0.19375
>MEG_1071|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,33.3763%,0.365979
>MEG_1072|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,16.825%,0.16825
>MEG_1073|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,17.2015%,0.206675
>MEG_1074|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,15.6533%,0.184994
>MEG_1075|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,7.98429%,0.104712
>MEG_1076|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,14.9178%,0.149178
>MEG_1077|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,32.6223%,0.404015
>MEG_1078|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,77%,1.16875
>MEG_1079|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,76%,1.16125
>MEG_107|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,12.7059%,0.157647
>MEG_1080|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,5.64827%,0.0564827
>MEG_1081|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,7.59162%,0.0890052
>MEG_1082|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH4,0.792079%,0.00792079
>MEG_1083|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH4,9.94387%,0.0994387
>MEG_1084|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,38.8551%,0.439708
>MEG_1085|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,36.7844%,0.419001
>MEG_1086|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,36.7844%,0.419001
>MEG_1087|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,34.1048%,0.383678
>MEG_1088|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,14.207%,0.14207
>MEG_1089|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,1.87225%,0.0187225
>MEG_108|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,12.9412%,0.131765
>MEG_1090|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,4.35308%,0.0435308
>MEG_1091|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,36.7844%,0.419001
>MEG_1092|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,3.69427%,0.0369427
>MEG_1093|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,3.30396%,0.0374449
>MEG_1094|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,14.207%,0.14207
>MEG_1095|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,34.7138%,0.398295
>MEG_1096|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,35.201%,0.403167
>MEG_1097|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,39.1411%,0.442945
>MEG_1098|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH7-DPRIME,1.93286%,0.0193286
>MEG_1099|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH9,3.68475%,0.0368475
>MEG_109|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,13.6471%,0.138824
>MEG_10|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,3.76454%,0.0438056
>MEG_1100|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH9,1.63767%,0.0163767
>MEG_1101|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH9,12.1429%,0.121429
>MEG_1102|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|APMA,2.10136%,0.0210136
>MEG_1103|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|APMA,0.741656%,0.00741656
>MEG_1104|Drugs|betalactams|Class_C_betalactamases|AQU,9.31677%,0.116238
>MEG_1105|Drugs|betalactams|Class_C_betalactamases|AQU,6.65484%,0.0807453
>MEG_1106|Drugs|betalactams|Class_C_betalactamases|AQU,8.03177%,0.0997352
>MEG_1107|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|ARIR,31.0757%,0.474104
>MEG_1108|Drugs|betalactams|Class_A_betalactamases|ARL,18.4874%,0.202881
>MEG_1109|Drugs|betalactams|Class_A_betalactamases|ARL,17.7671%,0.195678
>MEG_110|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,10.8235%,0.110588
>MEG_1110|Drugs|betalactams|Class_A_betalactamases|ARL,17.8872%,0.196879
>MEG_1111|Drugs|betalactams|Class_A_betalactamases|ARL,23.0492%,0.248499
>MEG_1112|Drugs|betalactams|Class_A_betalactamases|ARL,12.605%,0.12605
>MEG_1113|Drugs|betalactams|Class_A_betalactamases|ARL,18.0072%,0.198079
>MEG_1114|Drugs|Multi-drug_resistance|MDR_regulator|ARLR,39.5963%,0.618012
>MEG_1115|Drugs|Multi-drug_resistance|MDR_regulator|ARLR,36.9565%,0.562112
>MEG_1116|Drugs|Multi-drug_resistance|MDR_regulator|ARLR,33.6957%,0.529503
>MEG_1117|Drugs|Multi-drug_resistance|MDR_regulator|ARLR,43.4783%,0.689441
>MEG_1118|Drugs|Multi-drug_resistance|MDR_regulator|ARLS,9.47761%,0.109701
>MEG_1119|Drugs|Multi-drug_resistance|MDR_regulator|ARLS,9.47761%,0.109701
>MEG_111|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,12%,0.124706
>MEG_1120|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|ARMA,16.2269%,0.175462
>MEG_1121|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ARMR,9.58904%,0.0958904
>MEG_1122|Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|ARNA,2.07805%,0.0207805
>MEG_1123|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,40.5034%,0.503432
>MEG_1124|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,40.5034%,0.503432
>MEG_1125|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,45.3089%,0.551487
>MEG_1126|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,29.8995%,0.298995
>MEG_1127|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,43.0206%,0.528604
>MEG_1128|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,29.8077%,0.298077
>MEG_1129|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,42.5629%,0.524027
>MEG_112|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,14.5882%,0.174118
>MEG_1130|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,6.40732%,0.0915332
>MEG_1131|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,4.57666%,0.0457666
>MEG_1132|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,40.5034%,0.503432
>MEG_1133|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,2.97483%,0.0297483
>MEG_1134|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,16.2471%,0.292906
>MEG_1135|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,40.797%,0.525617
>MEG_1136|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,18.0778%,0.329519
>MEG_1137|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,18.0778%,0.329519
>MEG_1138|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,34.0961%,0.432494
>MEG_1139|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARRA,4.94311%,0.0623774
>MEG_113|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,14.8235%,0.2
>MEG_1140|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARRA,4.94311%,0.0623774
>MEG_1141|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARRB,3.33817%,0.0333817
>MEG_1142|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSA,0.921659%,0.00921659
>MEG_1143|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSA,1.26728%,0.0126728
>MEG_1144|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSA,1.72811%,0.0172811
>MEG_1145|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSB,1.49137%,0.0149137
>MEG_1146|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSB,11.6098%,0.125854
>MEG_1147|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSB,11.6098%,0.125854
>MEG_1148|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,1.0989%,0.010989
>MEG_1149|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,4.00314%,0.0408163
>MEG_114|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,9.95261%,0.0995261
>MEG_1150|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,2.1978%,0.021978
>MEG_1151|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,3.68917%,0.0368917
>MEG_1152|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,27.3768%,0.3125
>MEG_1153|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,10.5181%,0.105181
>MEG_1154|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,5%,0.05
>MEG_1155|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,3.42105%,0.0342105
>MEG_1156|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,16.5789%,0.165789
>MEG_1157|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,17.5066%,0.175066
>MEG_1158|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,17.6316%,0.176316
>MEG_1159|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,3.9604%,0.039604
>MEG_115|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,26.3033%,0.324645
>MEG_1160|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,10.7895%,0.107895
>MEG_1162|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSCM,3.65854%,0.0365854
>MEG_1163|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSCM,30%,0.3
>MEG_1164|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSCM,0.97561%,0.0097561
>MEG_1165|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSD,34.2939%,0.342939
>MEG_1166|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSDM,37.7522%,0.377522
>MEG_1167|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSH,17.2767%,0.172767
>MEG_1168|Biocides|Naphthoquinone|Naphthoquinone_resistance_protein|ARSHN,6.28099%,0.0628099
>MEG_1169|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSM,0.478469%,0.00478469
>MEG_116|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,26.3033%,0.324645
>MEG_1170|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSP,2.46781%,0.0246781
>MEG_1171|Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR,57.6923%,0.698225
>MEG_1172|Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR,34.4371%,0.39404
>MEG_1173|Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR,2.66272%,0.0266272
>MEG_1174|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSRM,5.68562%,0.0568562
>MEG_1175|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSRM,3.34448%,0.0334448
>MEG_1176|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSRM,7.98817%,0.0828402
>MEG_1177|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSRM,36.3905%,0.363905
>MEG_1179|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|ASMA,4.20354%,0.0707965
>MEG_117|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,30.3318%,0.364929
>MEG_1180|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|ASMA,7.39935%,0.0739935
>MEG_1181|Biocides|Acid_resistance|Acid_resistance_protein|ASR,44.0625%,0.55625
>MEG_1182|Biocides|Acid_resistance|Acid_resistance_protein|ASR,44.3686%,0.566553
>MEG_1183|Drugs|betalactams|Class_A_betalactamases|AST,0.87241%,0.0109051
>MEG_1184|Drugs|betalactams|Class_A_betalactamases|AXC,2.04313%,0.0204313
>MEG_1185|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AXY,0.192184%,0.00192184
>MEG_1186|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AXY,10.8621%,0.115517
>MEG_1187|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AXYZ|RequiresSNPConfirmation,9.14928%,0.0914928
>MEG_1188|Drugs|betalactams|Class_C_betalactamases|AZECL,28.8496%,0.346018
>MEG_1189|Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA,0.124069%,0.00124069
>MEG_118|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,12%,0.136471
>MEG_1190|Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA,0.124069%,0.00124069
>MEG_1191|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAER,16.6902%,0.166902
>MEG_1192|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAER,4.66761%,0.0466761
>MEG_1193|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES,0.792507%,0.00792507
>MEG_1194|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES,9.79827%,0.0987032
>MEG_1195|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES,0.794224%,0.00794224
>MEG_1196|Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BAHA,0.757914%,0.00757914
>MEG_1197|Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|BASRS|RequiresSNPConfirmation,4.61538%,0.0461538
>MEG_1198|Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|BASRS,8.46262%,0.0853315
>MEG_1199|Drugs|betalactams|Class_D_betalactamases|BAT,3.28698%,0.0328698
>MEG_119|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,9.64706%,0.112941
>MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,26.5965%,0.320702
>MEG_1200|Drugs|betalactams|Class_A_betalactamases|BBI,2.11346%,0.0211346
>MEG_1201|Drugs|betalactams|Class_B_betalactamases|BC,16.7956%,0.167956
>MEG_1202|Drugs|betalactams|Class_B_betalactamases|BCII,9.49868%,0.149077
>MEG_1203|Drugs|betalactams|Class_B_betalactamases|BCII,2.63852%,0.0343008
>MEG_1204|Drugs|betalactams|Class_B_betalactamases|BCII,30.9934%,0.415894
>MEG_1205|Drugs|betalactams|Class_B_betalactamases|BCII,30.3311%,0.409272
>MEG_1206|Drugs|betalactams|Class_B_betalactamases|BCII,14.702%,0.193377
>MEG_1207|Drugs|betalactams|Class_A_betalactamases|BCL,6.85393%,0.0707865
>MEG_1208|Drugs|betalactams|Class_A_betalactamases|BCL,6.71806%,0.0693833
>MEG_1209|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,17.8891%,0.227191
>MEG_120|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,53.69%,0.621771
>MEG_1210|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,17.0213%,0.21617
>MEG_1211|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,17.8891%,0.227191
>MEG_1212|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR1,12.0704%,0.120704
>MEG_1213|Drugs|Bacitracin|Bacitracin_ABC_transporter|BCRA,13.7017%,0.137017
>MEG_1214|Drugs|Bacitracin|Bacitracin_ABC_transporter|BCRB,3.10966%,0.0310966
>MEG_1215|Drugs|Bacitracin|Bacitracin_ABC_transporter|BCRC,2.34899%,0.0234899
>MEG_1216|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|BCRCM,5.77508%,0.0577508
>MEG_1217|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|BCRCM,38.7417%,0.466887
>MEG_1218|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|BCRCM,8.51064%,0.0851064
>MEG_1219|Drugs|betalactams|Class_A_betalactamases|BEL,16.0287%,0.161483
